"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1444";"LETROZOLE";"4.0";"285.31";"0";"2.66";"Letrozole";"N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"30.49";"0.54";"6.04";"11.11";"0";"CHEMBL1961307";"Inhibition of human aromatase using dibenzylfluorescein substrate preincubated for 30 mins measured after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1955720";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";""
"CHEMBL1825032";"";"None";"324.77";"0";"3.43";"34i";"N#Cc1ccc(Cn2cc(COc3ccc(Cl)cc3)nn2)cc1";"IC50";"'='";"3910.0";"nM";"5.41";"";"";"UO_0000065";"16.65";"0.32";"1.98";"8.49";"0";"CHEMBL1828368";"Inhibition of aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate after 30 mins by fluorescence-based colorimetric analysis";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821589";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";""
"CHEMBL272464";"";"None";"398.44";"0";"4.28";"72";"Cc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1";"IC50";"'='";"17370.0";"nM";"4.76";"";"";"UO_0000065";"11.95";"0.23";"0.48";"4.83";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";""
"CHEMBL1957222";"";"None";"283.36";"0";"3.67";"22";"CCOc1ccc(-c2csc(-c3ccncc3)n2)cn1";"IC50";"'='";"1360.0";"nM";"5.87";"";"";"UO_0000065";"20.70";"0.40";"2.20";"12.25";"0";"CHEMBL1961307";"Inhibition of human aromatase using dibenzylfluorescein substrate preincubated for 30 mins measured after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1955720";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";""
"CHEMBL28668";"";"None";"260.34";"0";"1.99";"33";"CCC(C)C1(c2ccc(N)cc2)CCC(=O)NC1=O";"IC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"21.21";"0.40";"3.53";"7.65";"0";"CHEMBL4398430";"Inhibition of human placental microsome aromatase using [1beta,2beta3H]-]testosterone as substrate measured up to 21 mins in presence of NADPH by liquid scintillation spectrometer method";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4396892";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL288712";"";"None";"260.34";"0";"2.34";"9";"CCCCCC1(c2ccncc2)CCC(=O)NC1=O";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"21.52";"0.40";"3.26";"9.49";"0";"CHEMBL666799";"Inhibitory activity against human placental cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123885";"1";"Scientific Literature";"J Med Chem";"1987";"None";""
"CHEMBL192306";"";"None";"318.33";"0";"3.65";"2a";"COc1ccc2c(=O)c(-c3ccccc3)c(-n3ccnc3)oc2c1";"IC50";"'='";"776247116628.69";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL836231";"Inhibitory concentration against human placental aromatase by deutirium oxide release";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139571";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL480514";"";"None";"267.29";"0";"2.33";"8";"Oc1ccc(C(c2ccc(O)cc2)n2cncn2)cc1";"IC50";"'='";"178.0";"nM";"6.75";"";"";"UO_0000065";"25.25";"0.46";"4.42";"9.48";"0";"CHEMBL988317";"Inhibition of aromatase activity in human JEG3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155113";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308202";""
"CHEMBL437731";"";"None";"318.33";"0";"3.83";"Table S2, R6C1";"O=c1cc(Cn2ccnc2)c2ccc(Oc3ccccc3)cc2o1";"IC50";"'='";"51.0";"nM";"7.29";"";"";"UO_0000065";"22.91";"0.41";"3.46";"12.74";"1";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL202065";"";"None";"373.33";"0";"4.69";"7g";"COc1ccc2cc(C(c3ccc(C(F)(F)F)cc3)n3cncn3)oc2c1";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"18.44";"0.35";"2.20";"12.97";"0";"CHEMBL865872";"Displacement of [1,2,6,7-3H]-androstenedione from human placental CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149390";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL1444";"LETROZOLE";"4.0";"285.31";"0";"2.66";"Letrozole";"N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1";"IC50";"'='";"1.1";"nM";"8.96";"";"";"UO_0000065";"31.40";"0.56";"6.30";"11.44";"0";"CHEMBL3135122";"Inhibition of human recombinant aromatase expressed in baculovirus infected insect cells using O-benzylfluorescein benzyl ester as substrate after 30 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3132766";"1";"Scientific Literature";"Medchemcomm";"2013";"None";""
"CHEMBL1444";"LETROZOLE";"4.0";"285.31";"0";"2.66";"letrozole";"N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1";"IC50";"'='";"11.5";"nM";"7.94";"";"";"UO_0000065";"27.83";"0.49";"5.28";"10.14";"1";"CHEMBL967987";"Inhibition of aromatase in human placental microsomes";"B";"BAO_0000251";"microsome format";"Homo sapiens";"None";"None";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155912";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";""
"CHEMBL1825044";"";"None";"299.76";"0";"3.56";"35i";"Clc1ccc(OCc2cn(Cc3ccccc3)nn2)cc1";"IC50";"'='";"5040.0";"nM";"5.30";"";"";"UO_0000065";"17.67";"0.34";"1.74";"13.26";"0";"CHEMBL1828368";"Inhibition of aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate after 30 mins by fluorescence-based colorimetric analysis";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821589";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";""
"CHEMBL490194";"";"None";"408.33";"1";"6.20";"1bn";"Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)c(Cl)c1";"IC50";"'='";"3650.0";"nM";"5.44";"";"";"UO_0000065";"13.32";"0.27";"-0.76";"25.82";"0";"CHEMBL987995";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144209";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";""
"CHEMBL389924";"(RAC)-ABYSSINONE II";"None";"324.38";"0";"4.31";"rac-abyssinone II";"CC(C)=CCc1cc(C2CC(=O)c3ccc(O)cc3O2)ccc1O";"IC50";"'='";"40950.0";"nM";"4.39";"";"";"UO_0000065";"13.53";"0.25";"0.08";"6.57";"0";"CHEMBL958770";"Inhibition of aromatase by fluorimetric method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157393";"1";"Scientific Literature";"J Nat Prod";"2008";"None";""
"CHEMBL2011192";"";"None";"240.26";"0";"2.75";"page no 2604, R12C2";"O=C1c2ccccc2OCC1c1ccc(O)cc1";"IC50";"'='";"160000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2014374";"Inhibition of aromatase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010679";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";""
"CHEMBL4166364";"";"None";"794.87";"2";"6.39";"37";"O=[N+]([O-])c1ccccc1S(=O)(=O)NCCc1c(C(c2ccccc2O)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccccc2[N+](=O)[O-])[nH]c2ccccc12";"IC50";"'='";"4600.0";"nM";"5.34";"";"";"UO_0000065";"6.71";"0.13";"-1.05";"2.32";"0";"CHEMBL4142230";"Inhibition of aromatase (unknown origin) using O-benzyl fluorescein benzyl ester as substrate in presence of NADPH-generating system by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138181";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL310735";"";"None";"286.46";"1";"5.15";"18a";"C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12";"IC50";"'='";"0.037";"nM";"10.43";"";"";"UO_0000065";"36.42";"0.68";"5.28";"61.11";"0";"CHEMBL661696";"In vitro inhibition of cytochrome P450 19A1 in human placental microsomes";"B";"BAO_0000251";"microsome format";"None";"None";"None";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL376371";"";"None";"309.37";"0";"4.10";"Table S2, R63C1";"c1ccc(C2(n3cncn3)c3ccccc3-c3ccccc32)cc1";"IC50";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"17.45";"0.31";"1.30";"17.58";"0";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL3938615";"";"None";"621.47";"1";"4.51";"6g";"O=S(=O)(N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1)C(F)(F)F";"IC50";"'='";"790.0";"nM";"6.10";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3868075";"Inhibition of Cyp19 (unknown origin)";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3867461";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";""
"CHEMBL491213";"";"None";"357.43";"1";"5.03";"1bk";"Fc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"18.80";"0.34";"1.69";"31.91";"0";"CHEMBL987995";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144209";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";""
"CHEMBL491013";"";"None";"373.89";"1";"5.54";"1bj";"Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1";"IC50";"'='";"1180.0";"nM";"5.93";"";"";"UO_0000065";"15.86";"0.30";"0.39";"28.15";"0";"CHEMBL987995";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144209";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";""
"CHEMBL286738";"IROSUSTAT";"2.0";"309.34";"0";"1.64";"STX64, 667COUMATE, BN83495";"NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL890184";"Inhibition of aromatase in JEG3 cell membrane";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145445";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3308202";""
"CHEMBL349822";"";"None";"183.21";"0";"1.80";"23";"N#Cc1ccc(Cn2ccnc2)cc1";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"44.51";"0.80";"6.35";"19.60";"0";"CHEMBL1828368";"Inhibition of aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate after 30 mins by fluorescence-based colorimetric analysis";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821589";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";""
"CHEMBL294357";"";"None";"312.76";"0";"2.92";"4c";"Clc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1";"IC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"17.66";"0.34";"2.60";"10.45";"0";"CHEMBL645583";"Inhibition of human placental aromatase, cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131809";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";""
"CHEMBL489189";"";"None";"356.44";"1";"5.72";"2bh";"Fc1ccccc1CC(Cc1ccc(-c2ccccc2)cc1)n1ccnc1";"IC50";"'='";"1370.0";"nM";"5.86";"";"";"UO_0000065";"16.45";"0.30";"0.14";"32.90";"0";"CHEMBL987995";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144209";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";""
"CHEMBL409271";"";"None";"435.51";"0";"3.79";"79";"CN(c1ccc(NC(=O)c2ccc(C#N)cc2)cc1OCc1ccccc1)S(C)(=O)=O";"IC50";"'='";"440.0";"nM";"6.36";"";"";"UO_0000065";"14.60";"0.28";"2.57";"6.39";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";""
"CHEMBL443066";"";"None";"410.50";"0";"3.91";"75";"CN(c1ccc(NC(=O)c2ccccc2)cc1OCc1ccccc1)S(C)(=O)=O";"IC50";"'='";"1770.0";"nM";"5.75";"";"";"UO_0000065";"14.01";"0.27";"1.84";"7.60";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";""
"CHEMBL272398";"";"None";"306.39";"0";"2.24";"73";"CN(c1ccc(N)cc1OCc1ccccc1)S(C)(=O)=O";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"19.45";"0.39";"3.72";"8.20";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";""
"CHEMBL223161";"";"None";"372.40";"0";"3.70";"23";"CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc2ccccc2c1";"IC50";"'='";"2170.0";"nM";"5.66";"";"";"UO_0000065";"15.21";"0.30";"1.96";"5.75";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";""
"CHEMBL202452";"";"None";"330.41";"0";"2.95";"14";"CCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O";"IC50";"'='";"4490.0";"nM";"5.35";"";"";"UO_0000065";"16.19";"0.33";"2.40";"5.96";"0";"CHEMBL952107";"Inhibition of aromatase in human SKBR3 cells by tritiated water release assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143195";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3308062";""
"CHEMBL1825029";"";"None";"266.35";"0";"3.25";"34f";"N#Cc1ccc(Cn2cc(C3CCCCC3)nn2)cc1";"IC50";"'='";"10700.0";"nM";"4.97";"";"";"UO_0000065";"18.66";"0.34";"1.72";"9.12";"0";"CHEMBL1828368";"Inhibition of aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate after 30 mins by fluorescence-based colorimetric analysis";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821589";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";""
"CHEMBL272339";"";"None";"265.32";"0";"2.91";"35h";"c1ccc(Cn2cc(COc3ccccc3)nn2)cc1";"IC50";"'='";"10600.0";"nM";"4.97";"";"";"UO_0000065";"18.75";"0.34";"2.06";"12.46";"0";"CHEMBL1828368";"Inhibition of aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate after 30 mins by fluorescence-based colorimetric analysis";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821589";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";""
"CHEMBL1825026";"";"None";"268.36";"0";"3.32";"34c";"CCCCCCc1cn(Cc2ccc(C#N)cc2)nn1";"IC50";"'='";"5260.0";"nM";"5.28";"";"";"UO_0000065";"19.67";"0.36";"1.96";"9.69";"0";"CHEMBL1828368";"Inhibition of aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate after 30 mins by fluorescence-based colorimetric analysis";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821589";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";""
"CHEMBL193343";"";"None";"249.31";"0";"4.30";"BDBM8908";"CCOc1ccc2cc(-c3cccnc3)ccc2c1";"IC50";"'='";"6639.0";"nM";"5.18";"";"384959";"UO_0000065";"20.77";"0.37";"0.88";"23.41";"0";"CHEMBL3888233";"CYP19 Inhibition Assay: The enzyme was obtained from the microsome fraction of fresh human placenta (St. Josephs Krankenhaus, Saarbrucken-Dudweiler, Germany) according to the method of Thompson and Siiteri (Thompson, E. A. & Siiteri, P. K., J. Biol. Chem. 249: 5364-5372 (1974)). The isolated microsomes were suspended in a mini mum volume of phosphate buffer (0.05 M; pH 7.4; 20% glycerol). In addition, DTT (10 mM) and EDTA (1 mM) were added to protect the enzyme from degradation reactions. The protein concentration was determined according to Lowry et al. (Lowry, O. H. et al., J. Biol. Chem. 193: 265-275 (1951)) and should be about 35 mg/ml after the processing.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886626";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL185966";"";"None";"430.53";"1";"6.33";"3a";"C=CCSc1oc2cc(OCc3ccccc3)ccc2c(=O)c1-c1ccc(OC)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL877007";"Inhibitory concentration against human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138663";"1";"Scientific Literature";"J Med Chem";"2004";"None";""
"CHEMBL7162";"NS-398";"None";"314.36";"0";"2.68";"NS-398";"CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1";"IC50";"'='";"680.0";"nM";"6.17";"";"";"UO_0000065";"19.62";"0.40";"3.49";"6.26";"1";"CHEMBL864308";"Inhibition of CYP450 aromatase activity in SK-BR-3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138124";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3308062";""
"CHEMBL372835";"";"None";"260.27";"0";"1.00";"25";"COc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL864308";"Inhibition of CYP450 aromatase activity in SK-BR-3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138124";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3308062";""
"CHEMBL1824743";"";"None";"369.47";"0";"4.78";"10c";"CCCCCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1";"IC50";"'='";"5070.0";"nM";"5.29";"";"";"UO_0000065";"14.33";"0.26";"0.51";"6.76";"0";"CHEMBL1828368";"Inhibition of aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate after 30 mins by fluorescence-based colorimetric analysis";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821589";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";""
"CHEMBL488";"AMINOGLUTETHIMIDE";"4.0";"232.28";"0";"1.35";"Aminoglutethimide";"CCC1(c2ccc(N)cc2)CCC(=O)NC1=O";"IC50";"'='";"1900.0";"nM";"5.72";"";"";"UO_0000065";"24.63";"0.46";"4.37";"7.93";"0";"CHEMBL662433";"In vitro inhibition of human placental Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126687";"1";"Scientific Literature";"J Med Chem";"1993";"None";""
"CHEMBL73279";"";"None";"274.45";"0";"4.70";"2";"CC12CCCC=C1CCC1C2CCC2(C)C1CC[C@@H]2O";"IC50";"'='";"0.36";"nM";"9.44";"";"";"UO_0000065";"34.41";"0.64";"4.74";"46.68";"0";"CHEMBL661696";"In vitro inhibition of cytochrome P450 19A1 in human placental microsomes";"B";"BAO_0000251";"microsome format";"None";"None";"None";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL204502";"";"None";"342.42";"0";"2.95";"20";"CN(c1ccc([N+](=O)[O-])cc1OCC1CCCCC1)S(C)(=O)=O";"IC50";"'='";"960.0";"nM";"6.02";"";"";"UO_0000065";"17.57";"0.36";"3.07";"6.70";"1";"CHEMBL864308";"Inhibition of CYP450 aromatase activity in SK-BR-3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138124";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3308062";""
