PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
1042,144204902,442021,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1043,144204903,92806,CCN(CC)CCOC(=O)C(C1CCCCC1)C2=CC=CC=C2.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,33.4915,-37.6439,Microsource
1044,144204906,3083802,CCN(CC)CCNC(=O)COC1=CC=C(C=C1)OC.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1045,144204909,4059,CC1=CC=CC=C1OCC(CO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1046,144204910,1984,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1047,144204911,5143,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
1048,144204912,9818306,CC(=O)OC1=CC2=C(C=C1)[C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1049,144204913,92965,CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1050,144204915,70912,CC(C)C[C@@H](C(=O)O)NC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1051,144204916,2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1052,144204917,44561,C(=O)([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1053,144204918,25195407,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N=C)C(=O)[O-])C.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1054,144204919,93095,C[C@H]1[C@H](O1)P(=O)([O-])[O-].[Ca+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1055,144204920,23663974,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1056,144204921,5773,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1057,144204922,6780,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
1058,144204923,2197,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1059,144204924,124886,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1060,144204925,2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
1061,144204926,11545,C[N+](C)(C)CC(=O)O.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1062,144204927,3092,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1063,144204928,2149,C(C(CN)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1064,144204929,2741,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1065,144204930,2005,CC(=O)NCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1066,144204931,657306,CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1067,144204932,5763,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1068,144204934,54891,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1069,144204935,43261,CC1(O[C@@H]2[C@H]([C@H](O[C@@H]2O1)C(CO)O)OCCCN(C)C)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1070,144204936,7027,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1071,144204937,72139,C1=CC2=C(C=C1O)OC(=O)S2,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1072,144204938,5702220,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1073,144204939,11953897,CN1N=C(C(=O)N=C1SCC2=C(N3C(=O)[C@H]([C@H]3SC2)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)C(=O)[O-])[O-].CN1N=C(C(=O)N=C1SCC2=C(N3C(=O)[C@H]([C@H]3SC2)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)C(=O)[O-])[O-].O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1074,144204940,6136,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1075,144204941,14520,CC(=O)NC1CCSC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1076,144204942,2799,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1077,144204944,10969,CC(CCCC(C)(C)O)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1078,144204945,5281613,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1079,144204947,161803,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1080,144204951,5641,CCOC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1081,144204952,5453,C1CN1P(=S)(N2CC2)N3CC3,Inactive,0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
1082,144204953,5424,C1(=C(C(=O)C(=C(C1=O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1083,144204954,5334,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,8.41267,-47.0224,Microsource
1084,144204955,4842,C1CN(CCN1C(=O)CCBr)C(=O)CCBr,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1085,144204958,9941647,C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC\2CC3C(C(CC(O3)(CC(CC(CC(CC(CC(=O)CC(CC(=O)OC(C(/C=C/C=C/C=C/C=C/C=C/C=C/C=C2)C)C(C)CCC(CC(=O)C4=CC=C(C=C4)NC)O)O)O)O)O)O)O)O)C(=O)OC)O)N)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1086,144204959,5055,CC(=O)OC1=CC=CC(=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1087,144204960,23703990,CC[C@H]([C@H]1CC[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,4.73079,-37.0038,Microsource
1088,144204961,9578507,C[C@H]1CC[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]\5[C@@]4([C@@H](C=C(/C5=N/O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)\C)O[C@@H]1C7CCCCC7,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1089,144204965,5037,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1090,144204966,5447,C(CSCCO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1091,144204969,66061,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1092,144204970,4747,C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1093,144204971,1269845,C1=CNC(=S)NC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1094,144204972,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1095,144204973,73111,C1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C([C@@H]2[C@@H]5C6=C(C(=CC=C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1096,144204976,6806,CC(=O)NC1=C(C=C(C(=C1I)C(=O)O)I)I,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1097,144204977,66070,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1098,144204978,5656,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1099,144204979,123608,C(CC(=O)O)C(=O)CN.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1100,144204980,51040,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1101,144204981,15459,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1102,144204982,84029,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1103,144204983,5090,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1104,144204984,16667700,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O.C(C(C(=O)O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,32.2305,-28.927,Microsource
1105,144204986,3749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,Inactive,0,,,inactive,inactive,,0,active antagonist,29.8493,-53.7322,Microsource
1106,144204987,77999,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1107,144204988,3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1108,144204989,441314,C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1109,144204990,3034010,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1110,144204991,119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1111,144204992,101526,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1112,144204993,60560,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1113,144204995,3324,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1114,144204996,150311,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1115,144204997,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1116,144204998,130881,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1117,144204999,5282242,C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=C\CC(=O)O)/C3=CSC(=N3)N)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1118,144205000,5284633,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@H](C(C)C)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1119,144205001,64764,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,31.618,-33.0119,Microsource
1120,144205003,5486699,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)OCCO)C5=CC(=C(C=C5)OCCO)OCCO)O)O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1121,144205005,65999,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1122,144205006,5484727,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1123,144205007,3002190,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1124,144205008,60857,CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,10.5909,27.263,Microsource
1125,144205009,135511839,COC(=O)N/N=C/C1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1126,144205010,71815,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1127,144205011,119525,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1128,144205012,134601,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1129,144205013,5042,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1130,144205014,60196281,CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1131,144205015,56207,C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1132,144205016,666418,CCCC1=NC=CC(=C1)C(=S)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1133,144205017,2577,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1134,144205018,18087,CC1=C(C(=O)C(=C(N1)C)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1135,144205019,3599,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1136,144205022,54360,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,14.9601,-30.1229,Microsource
1137,144205023,4236,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,BIOMOL
1138,144205025,5284627,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1139,144205026,9588170,CO/N=C/1\CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F.CS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1140,144205027,16759173,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)[O-])O)O)O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1141,144205028,5486971,CC(C)C[C@@H](CC(=O)O)CN,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1142,144205029,9881626,CCC(=O)NCCC1CCC2=C1C3=C(C=C2)OCC3,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1143,144205033,16667738,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC.C(C(C(=O)O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,28.1796,-70.1204,Microsource
1144,144205034,135409453,CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1145,144205035,23725082,CCC1=C(C2=CC3=NC(=CC4=NC(=C(C5=NC(=C(C5=C([O-])[O-])C)C=C1[N-]2)CC(=O)[O-])C(C4C)CCC(=O)[O-])C(=C3C=C)C)C.[Na+].[Na+].[Na+].[Cu+2],Inactive,0,,,inactive,inactive,,0,active antagonist,23.7101,-103.558,Microsource
1146,144205036,10206,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@@H]7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,26.6032,-66.2924,Microsource
1147,144205038,6708773,C1CCC(C1)CCCCCCCCCCCCC(=O)NC2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)NC(=O)CCCCCCCCCCCCC4CCCC4,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1148,144205039,6293,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,19.9496,-39.6433,Microsource
1149,144205040,9377,CC(CC1=CC=C(C=C1)O)N.Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1150,144205042,69301,COC1=CC(=CC(=C1)OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1151,144205043,1549992,CC1=CC[C@@H](CC1)[C@@](C)(CCC=C(C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1152,144205044,86472,CC1=C(C(=C(C2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)OC(=O)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
1153,144205045,6975516,CCOC(=O)O[C@@H]([C@@H]1C[C@@H]2CCN1C[C@@H]2C=C)C3=C4C=C(C=CC4=NC=C3)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1154,144205048,12305761,C1=CC2=C(C(=C1)O)C(=O)C3=C([C@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C(C=C3O)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1155,144205049,470999,C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1156,144205050,60196282,C[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O[C@@H]2CC([C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COS(=O)(=O)O)O[C@H]4[C@@H]([C@H](C=C(O4)C(=O)[O-])O)O)O)NC(=O)C)C(=O)[O-])CO)OC5[C@@H]([C@H]([C@@H](OC5C(=O)[O-])OC6[C@H]7CO[C@H](O7)[C@@H]([C@H]6O)NS(=O)(=O)[O-])O)O)NC(=O)C.[Na+].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1157,144205053,16315,C=CCSSSCC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1158,144205056,3058754,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1159,144205057,68093,CC(=O)OC1=CC=CC(=C1OC(=O)C)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1160,144205059,60196284,C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1161,144205060,94154,C([C@H](C([C@@H](CO)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1162,144205062,440936,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1163,144205063,26447,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1164,144205064,135398638,C1=NC2=C(N1)C(=O)NC=N2,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1165,144205065,10712,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1166,144205067,222284,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1167,144205069,137319715,CN1CC(=O)NC1=N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1168,144205070,23677058,CCCC(C)C1(C(=O)NC(=NC1=O)[S-])CC=C.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1169,144205071,197066,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1170,144205074,64782,C[C@@H]([C@@H](C1=CC=CC=C1)O)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1171,144205075,135398641,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1172,144205076,6738,CC1=C(C(=CC=C1)C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1173,144205077,20054942,CN[C@H]1C[C@H]([C@@H]([C@H]([C@@H]1O)O[C@H]2[C@@H]3[C@H]([C@H]([C@H](O2)CO)O)OC4(O3)[C@@H]([C@H]([C@H]([C@H](O4)C(CO)N)O)O)O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
1174,144205079,3515,CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,FLUKA
1175,144205080,5284507,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
